Open,Year,High,Month,Low,Close
38050,2013,38350,12,36750,37000
38300,2013,38800,12,37800,38200
39350,2013,39450,12,38700,38950
38600,2013,39050,12,38400,38950
38650,2013,39600,11,38350,38800
38000,2013,39000,11,37950,38950
37250,2013,37700,11,36850,37650
37200,2013,37800,11,37150,37700
37400,2013,37950,11,37100,37700
37800,2013,38000,11,36750,36800
36400,2013,37350,11,36100,37100
36150,2013,36400,11,35800,35800
35550,2013,36000,11,35250,35950
36050,2013,36300,11,35300,35700
35050,2013,35750,11,34600,35600
33050,2013,34650,11,32950,34250
31800,2013,32650,11,31800,32550
30950,2013,32250,11,30850,32200
30900,2013,31000,11,30650,30800
30900,2013,31050,11,30350,30600
32400,2013,32550,11,31700,31750
31500,2013,32350,11,31400,32250
32800,2013,32850,11,32200,32500
33050,2013,33350,11,32400,32650
33700,2013,33800,10,32850,32850
33550,2013,34000,10,33400,33900
32700,2013,33100,10,32600,33000
32850,2013,33250,10,32600,33200
33050,2013,33350,10,32150,32150
33300,2013,33650,10,32600,33300
34650,2013,34700,10,33350,33500
34000,2013,34650,10,34000,34450
34050,2013,34300,10,33950,34200
33950,2013,34250,10,33700,33850
34450,2013,34600,10,33850,34150
34000,2013,34200,10,33650,33850
33650,2013,34350,10,33650,34200
33150,2013,33500,10,32700,33450
35300,2013,35350,10,34250,34550
34150,2013,34850,10,33850,34750
33950,2013,34600,10,33700,34550
35000,2013,35050,10,34000,34050
34750,2013,35200,10,34300,34600
34850,2013,35450,10,34550,35250
37150,2013,37250,10,35450,35550
37200,2013,37650,10,36950,37100
36800,2013,37350,9,36650,36850
37700,2013,38100,9,37400,37750
36750,2013,37800,9,36400,37600
36900,2013,37200,9,36350,36350
36550,2013,37300,9,36350,37200
36950,2013,37100,9,36600,36750
37000,2013,37200,9,36500,36900
35500,2013,36500,9,35450,36350
35650,2013,35750,9,35150,35200
35150,2013,35600,9,35000,35500
34900,2013,35650,9,34900,35300
34950,2013,35900,9,34750,34750
34400,2013,34800,9,34150,34750
34350,2013,34350,9,33800,34050
34500,2013,34500,9,32950,32950
34500,2013,34800,9,33900,34200
34050,2013,34100,9,33100,34050
33000,2013,34100,9,33000,34050
32050,2013,32900,9,31850,32750
32100,2013,32350,8,31700,31900
31300,2013,31800,8,31150,31800
30150,2013,31100,8,30050,30900
31300,2013,31800,8,31150,31300
32150,2013,32200,8,31600,31750
32050,2013,32450,8,31600,31850
31000,2013,31500,8,30600,31100
31350,2013,31550,8,30400,31300
31600,2013,32000,8,30950,31150
32350,2013,32450,8,31800,32200
31500,2013,32400,8,31200,32000
32500,2013,33050,8,31900,32100
32800,2013,33250,8,31950,33200
32000,2013,32650,8,31750,32650
31200,2013,31900,8,30750,31300
31950,2013,32450,8,31300,31650
32950,2013,34000,8,31900,32100
33650,2013,34150,8,32900,32900
34550,2013,35150,8,33600,35050
35300,2013,35600,8,34600,34700
34900,2013,35750,8,34800,35600
33050,2013,34200,8,33000,34200
33700,2013,33700,7,33000,33550
33800,2013,34550,7,33600,34400
34750,2013,35200,7,34100,34100
36150,2013,36600,7,35450,35450
36350,2013,36950,7,36200,36650
36450,2013,36600,7,36100,36300
36000,2013,37150,7,35950,36650
36800,2013,36900,7,35750,36450
37300,2013,37700,7,35500,36150
35950,2013,36900,7,35500,36750
35050,2013,35900,7,34950,35850
35750,2013,36450,7,34900,35300
36700,2013,37150,7,36000,36450
37400,2013,38750,7,37350,38700
37950,2013,38750,7,37250,38000
37150,2013,38500,7,36700,38450
37900,2013,38250,7,36750,36800
35900,2013,37000,7,35750,37000
34550,2013,35350,7,34400,35250
36000,2013,36250,7,34450,34800
33900,2013,35350,7,33800,35300
33500,2013,34000,7,32700,33900
31850,2013,33500,6,31300,33450
31000,2013,31650,6,30600,31500
31300,2013,31850,6,30450,30600
30500,2013,31100,6,29670,30500
32150,2013,32150,6,30100,30300
29210,2013,31950,6,29010,31050
29670,2013,30450,6,29220,29620
30350,2013,30700,6,29630,30300
29310,2013,30200,6,29120,29820
28500,2013,29800,6,27900,29740
28650,2013,29650,6,28540,28940
30350,2013,30550,6,28550,28550
30600,2013,31400,6,30100,31250
31900,2013,32500,6,31050,31250
32500,2013,32550,6,30600,32050
28990,2013,31350,6,28580,31100
30350,2013,30450,6,29210,29460
33950,2013,34100,6,29580,29920
32950,2013,33900,6,32000,33050
34600,2013,34600,6,32700,32700
34600,2013,35200,5,33650,34900
35750,2013,36100,5,33200,33200
38450,2013,38550,5,36800,37350
37100,2013,38950,5,36900,38100
36200,2013,37600,5,35600,37250
39550,2013,40200,5,35200,38300
42000,2013,44400,5,38100,38100
38600,2013,41500,5,38550,41400
38700,2013,38950,5,38250,38550
38750,2013,39200,5,38600,39200
38250,2013,38900,5,37700,38900
38750,2013,38850,5,37550,38250
39000,2013,39250,5,38250,38800
38300,2013,38400,5,37900,38000
37850,2013,38450,5,37550,38000
37400,2013,37600,5,36850,37300
36450,2013,36900,5,36250,36250
36400,2013,36900,5,36100,36250
36600,2013,37050,5,36000,36950
35950,2013,36100,5,35300,35350
35750,2013,36450,5,35500,36000
35600,2013,35850,4,34900,35700
34600,2013,35750,4,34350,35700
34050,2013,34450,4,33650,34100
33750,2013,34100,4,33650,34050
33950,2013,34150,4,33450,33500
33900,2013,34350,4,33550,34300
33950,2013,33950,4,33350,33500
33500,2013,34150,4,33300,33500
34050,2013,34400,4,33700,33950
32650,2013,34300,4,32550,33800
33550,2013,34200,4,33350,33350
33850,2013,34800,4,32650,34250
34200,2013,34550,4,33300,34550
33500,2013,34150,4,33300,33500
34900,2013,35200,4,33700,33750
35600,2013,36300,4,34900,35050
38000,2013,38350,4,34900,34900
34800,2013,35850,4,33600,35650
33500,2013,35800,4,33350,35650
30850,2013,31350,4,30300,31300
30850,2013,31350,4,30500,30650
30200,2013,30800,3,30000,30650
29970,2013,30250,3,29810,29930
30400,2013,30450,3,29700,30150
30150,2013,30600,3,30050,30150
30100,2013,30900,3,29940,30700
30200,2013,30400,3,29300,29330
30550,2013,30800,3,30200,30700
30050,2013,30250,3,29840,30100
29620,2013,29820,3,29290,29290
30300,2013,30650,3,30100,30400
29860,2013,30350,3,29850,30300
30100,2013,30350,3,29390,29550
30900,2013,31300,3,29990,30200
31450,2013,31500,3,30700,30900
29000,2013,31600,3,28950,31500
29440,2013,29650,3,28610,28690
27570,2013,29070,3,27530,28940
26370,2013,27100,3,26210,26770
25800,2013,25800,3,25130,25370
25170,2013,25630,3,25080,25380
25150,2013,25480,2,25050,25430
25100,2013,25240,2,24570,24580
25000,2013,25300,2,24920,24960
25660,2013,26000,2,25590,26000
24830,2013,25190,2,24510,25170
25360,2013,25470,2,24870,24910
25520,2013,25550,2,25320,25450
25200,2013,25590,2,25150,25320
25210,2013,25540,2,25050,25390
24780,2013,25290,2,24730,24860
24690,2013,25050,2,24570,24910
